Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by ANC1P - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ANC1P - 1 Digit Level","Oceanian","North-West European","Southern and Eastern European","North African and Middle Eastern","South-East Asian","North-East Asian","Southern and Central Asian","Peoples of the Americas","Sub-Saharan African","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"8104903",0,0,0,0,0,5,0,0,0,0,0,0,
"8104901",260,714,76,31,111,521,192,25,20,9,131,2083,
"8104902",0,0,0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,0,0,
"8105013",120,271,48,0,27,12,11,6,3,0,40,539,
"8105008",57,129,15,8,8,5,10,0,3,0,18,252,
"8105016",68,81,10,0,4,10,3,0,0,0,9,179,
"8105018",49,107,10,0,0,9,4,6,0,0,10,204,
"8105006",66,236,21,4,13,7,3,5,0,0,30,391,
"8105007",73,156,11,0,0,6,5,0,0,0,13,269,
"8105001",136,221,30,10,17,9,7,9,0,8,16,466,
"8105002",67,177,21,6,0,9,3,5,0,0,43,326,
"8105014",60,166,25,0,16,6,3,6,4,0,9,286,
"8105011",132,307,42,0,8,19,6,5,3,7,33,555,
"8105005",126,271,36,9,8,20,9,3,0,0,23,505,
"8105012",87,182,35,0,8,20,5,9,0,0,17,360,
"8105004",63,138,10,0,6,7,4,0,3,0,7,243,
"8105017",40,132,13,0,0,25,9,0,0,0,11,232,
"8105015",63,247,27,0,0,4,6,0,0,0,28,380,
"8105003",0,0,0,0,0,0,0,0,0,0,0,0,
"8103404",111,193,33,9,0,15,57,4,3,0,14,441,
"8103406",94,193,22,3,30,30,24,6,0,7,7,417,
"8103411",160,262,28,6,15,25,31,6,9,0,26,567,
"8103405",136,190,46,13,18,10,36,0,0,0,21,476,
"8103409",78,146,12,6,12,10,17,0,9,0,11,299,
"8103408",133,250,45,0,8,23,33,7,0,0,30,529,
"8103412",149,200,59,13,9,13,27,12,10,0,5,494,
"8103410",152,244,51,11,0,34,19,0,0,0,3,513,
"8103407",83,124,31,0,0,16,11,0,4,0,15,278,
"8103414",60,105,22,3,0,10,8,4,0,0,5,219,
"8103401",79,186,45,0,9,18,22,0,0,4,11,371,
"8103403",125,206,35,0,14,32,31,0,0,3,7,452,
"8103402",67,71,18,0,16,19,10,0,3,0,5,212,
"8103413",109,201,20,3,6,24,33,0,7,0,26,434,
"8104014",58,82,28,14,29,48,36,3,9,0,24,325,
"8100104",112,236,23,0,8,28,10,0,0,4,6,440,
"8100102",81,200,19,5,17,30,4,5,0,0,30,387,
"8100101",62,158,12,0,0,5,7,0,3,0,4,252,
"8100106",107,230,13,0,5,45,23,7,0,0,11,436,
"8100105",170,278,35,5,3,21,5,3,0,4,25,559,
"8100103",53,163,19,0,14,31,14,3,0,7,9,321,
"8107108",142,241,34,17,31,23,22,0,8,4,20,549,
"8107112",142,305,42,6,21,6,32,4,0,0,36,598,
"8107110",173,358,35,6,22,18,19,0,5,9,42,687,
"8107106",120,184,14,0,16,6,9,4,0,0,18,364,
"8107113",56,166,22,0,7,4,0,7,0,0,4,261,
"8107114",84,170,12,4,14,0,6,0,0,0,3,305,
"8107107",106,188,16,0,4,11,13,0,0,0,20,364,
"8107102",151,200,57,5,7,22,30,4,0,4,12,490,
"8107104",78,144,19,3,4,0,3,10,0,0,0,262,
"8107109",108,194,35,4,11,7,17,4,0,0,32,418,
"8107105",116,238,19,0,6,5,9,0,3,0,27,436,
"8107111",61,122,15,0,11,0,25,0,0,0,3,238,
"8112902",60,172,10,5,5,15,4,4,0,0,8,282,
"8112903",81,297,47,11,10,39,10,0,6,0,65,574,
"8112901",82,319,44,6,22,34,22,12,3,4,44,587,
"8112602",0,0,0,0,0,0,0,0,0,0,0,0,
"8100203",84,248,31,16,14,96,130,12,11,0,47,693,
"8100211",77,202,31,14,33,119,69,3,10,5,55,625,
"8100210",59,151,10,11,29,46,15,3,3,0,34,368,
"8100217",45,133,20,4,8,85,40,3,0,0,45,383,
