Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"8104903",0,0,4,0,0,3,0,0,0,0,0,0,
"8104901",219,12,399,22,26,1229,0,4,8,141,13,2083,
"8104902",0,0,0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,0,0,
"8105013",78,14,117,30,23,78,0,25,13,36,116,539,
"8105008",30,13,44,10,23,45,0,13,3,27,48,252,
"8105016",19,11,33,7,10,47,0,6,0,7,40,179,
"8105018",17,15,45,6,14,34,0,18,3,18,37,204,
"8105006",39,14,81,19,23,117,0,22,6,35,47,391,
"8105007",26,15,76,22,12,52,0,13,3,11,34,269,
"8105001",60,18,90,25,29,87,0,36,3,27,89,466,
"8105002",56,21,75,22,9,46,0,5,3,32,62,326,
"8105014",39,18,72,12,16,47,0,7,3,8,61,286,
"8105011",71,51,115,29,32,91,0,18,9,31,113,555,
"8105005",73,23,113,33,27,75,0,22,0,25,110,505,
"8105012",63,21,71,16,10,61,0,17,9,20,69,360,
"8105004",35,10,55,14,15,43,0,16,10,8,47,243,
"8105017",32,11,67,12,8,41,0,6,4,15,31,232,
"8105015",21,16,47,34,26,103,0,25,18,87,0,380,
"8105003",0,0,0,0,0,0,0,0,0,0,0,0,
"8103404",30,16,59,29,49,86,0,9,9,13,136,441,
"8103406",24,11,74,41,44,93,0,18,7,14,88,417,
"8103411",40,24,82,56,44,98,0,20,13,16,163,567,
"8103405",35,23,61,44,33,94,0,13,7,19,143,476,
"8103409",16,7,36,24,36,64,0,11,6,10,91,299,
"8103408",34,19,71,41,64,120,0,26,10,22,130,529,
"8103412",31,13,62,39,36,113,0,19,16,14,142,494,
"8103410",24,10,74,46,60,116,0,18,12,11,140,513,
"8103407",14,12,45,32,27,61,0,9,0,13,73,278,
"8103414",10,7,22,16,26,55,0,16,0,5,58,219,
"8103401",24,11,52,20,52,87,0,26,10,16,82,371,
"8103403",26,8,71,38,38,110,0,15,11,13,110,452,
"8103402",14,4,33,23,30,38,0,11,7,5,52,212,
"8103413",27,16,77,32,52,86,0,11,15,23,96,434,
"8104014",23,9,62,24,25,77,0,8,3,23,61,325,
"8100104",93,30,105,22,28,65,0,6,8,11,87,440,
"8100102",58,24,93,21,15,52,0,8,3,29,92,387,
"8100101",35,13,59,21,8,34,0,10,13,12,47,252,
"8100106",75,25,97,32,17,73,0,6,10,8,78,436,
"8100105",66,37,112,33,19,104,0,14,15,29,120,559,
"8100103",49,15,79,18,13,58,0,12,5,10,66,321,
"8107108",13,8,65,42,77,137,0,29,15,25,128,549,
"8107112",22,11,63,74,67,162,0,22,17,37,128,598,
"8107110",14,14,50,50,104,210,0,22,14,44,156,687,
"8107106",8,8,24,29,57,98,0,13,10,17,104,364,
"8107113",4,4,24,19,32,80,0,16,14,8,65,261,
"8107114",0,3,20,26,41,109,0,12,8,13,69,305,
"8107107",8,4,30,24,50,121,0,13,7,24,70,364,
"8107102",18,13,68,51,73,108,0,11,14,8,136,490,
"8107104",3,6,32,29,34,84,0,14,4,4,49,262,
"8107109",0,8,37,20,52,120,0,28,8,30,100,418,
"8107105",12,7,46,30,55,130,0,22,14,26,87,436,
"8107111",4,4,19,22,35,82,0,11,6,7,44,238,
"8112902",52,23,91,14,16,41,0,5,4,15,22,282,
"8112903",120,47,162,41,25,76,0,0,8,60,30,574,
"8112901",143,42,179,30,15,78,0,0,11,45,48,587,
"8112602",0,0,0,0,0,0,0,0,0,0,0,0,
"8100203",107,26,209,46,54,121,0,0,17,54,52,693,
"8100211",78,27,139,40,30,126,0,19,19,54,99,625,
"8100210",37,9,101,23,27,80,0,9,0,40,36,368,
"8100217",54,7,106,19,21,89,0,9,7,36,21,383,
"8100205",0,0,0,0,0,0,0,0,0,0,0,0,
"8100201",70,8,134,23,40,130,0,14,9,46,68,549,
"8100209",25,3,50,24,15,93,0,13,6,55,41,332,
"8100214",163,31,247,65,80,231,0,8,16,73,52,963,
"8100202",31,10,59,21,28,80,3,12,7,21,44,319,
"8100204",0,0,0,0,0,0,0,0,0,0,0,6,
"8100212",57,13,93,35,27,104,0,27,15,66,27,456,
"8100216",0,0,0,0,0,0,0,0,0,0,0,0,
"8100213",3,0,5,0,0,5,0,0,0,4,0,25,
"8100208",38,14,102,26,28,53,0,14,10,34,47,379,
"8100319",33,14,79,15,14,55,0,9,8,16,24,258,
"8107208",9,18,71,48,56,168,0,29,10,35,98,540,
"8107202",16,6,44,35,42,102,0,29,17,26,38,349,
"8107207",12,13,42,36,40,134,0,14,7,8,89,407,
"8107206",33,16,62,49,56,125,0,24,12,24,73,480,
"8107204",23,8,69,44,54,137,0,13,14,19,86,464,
"8107211",7,5,28,24,30,65,0,10,4,4,33,219,
"8107210",16,5,45,32,48,101,0,17,9,12,58,342,
"8107203",13,13,38,32,46,120,0,12,8,17,74,369,
"8107209",0,0,0,0,0,0,0,0,0,0,0,0,
"8107205",45,15,138,42,56,129,0,22,19,10,142,612,
"8105104",83,37,172,37,37,112,0,3,10,70,23,586,
"8105105",93,41,198,39,29,134,0,0,8,132,19,692,
"8105112",35,10,59,14,14,50,0,5,5,26,11,232,
"8105115",36,8,61,16,6,52,0,10,8,23,40,258,
"8105117",38,16,103,13,18,50,0,5,3,22,13,271,
"8105101",4,0,0,5,4,11,0,4,3,10,4,36,
"8105109",101,25,225,33,38,118,0,13,13,40,52,653,
"8105110",53,7,115,19,10,65,0,3,7,44,17,350,
"8105116",52,15,114,29,16,67,0,4,7,38,17,367,
"8105111",107,30,161,27,27,102,0,6,8,46,34,543,
"8105102",74,30,140,26,17,106,0,20,15,34,30,492,
"8105114",0,0,38,15,8,351,0,0,5,69,0,489,
"8105118",57,14,98,8,13,22,0,0,7,20,9,259,
"8100314",6,5,13,0,17,42,0,9,0,77,0,171,
"8100310",35,10,71,17,20,45,0,0,5,12,48,271,
"8100316",22,14,50,15,13,35,0,6,3,112,20,294,
"8100315",53,17,100,28,18,72,0,20,15,15,49,386,
"8100306",49,19,113,30,23,85,0,3,8,18,46,394,
"8100312",61,25,110,39,25,101,0,6,12,13,67,461,
"8100317",75,13,149,21,30,109,0,3,3,31,17,450,
"8100313",94,30,211,57,51,123,0,0,5,31,27,625,
"8100307",24,7,60,5,10,82,0,3,8,3,12,216,
"8100304",98,34,252,61,57,184,0,15,16,35,106,866,
"8100308",23,6,130,41,38,590,0,10,9,120,0,963,
"8100309",40,8,74,16,28,56,0,0,7,22,36,285,
"8100301",60,8,122,30,27,87,0,0,13,7,20,372,
"8100311",42,14,70,20,12,69,0,0,3,21,33,292,
"8100318",51,19,79,15,8,41,0,7,9,16,58,294,
"8107308",14,9,43,28,39,90,0,11,3,14,51,302,
"8107304",7,12,25,34,60,85,0,17,8,23,67,332,
"8108107",10,3,45,32,38,62,0,14,5,26,83,317,
"8107316",0,4,36,23,47,82,0,5,8,19,70,298,
"8107307",12,16,49,43,55,124,0,17,14,16,89,430,
"8107312",20,5,61,37,30,96,0,10,8,28,60,355,
"8107309",20,17,56,53,75,155,0,24,10,28,120,549,
"8107315",0,0,8,4,4,27,0,12,9,47,0,107,
"8107311",9,13,51,59,112,162,0,25,22,20,151,620,
"8107313",20,0,33,42,56,80,0,22,16,26,87,367,
"8107302",25,18,51,28,61,126,0,21,15,21,74,441,
"8107310",22,3,47,37,59,95,0,15,11,18,48,368,
"8107303",13,6,69,42,62,142,0,21,19,43,103,524,
"8107301",12,8,57,46,67,128,0,16,7,26,78,445,
"8112406",68,23,89,22,12,75,0,3,3,10,65,380,
"8112401",99,29,112,39,29,91,0,12,13,67,65,565,
"8112408",37,18,54,16,15,37,0,0,4,14,36,225,
"8112405",59,17,76,24,26,98,0,15,22,74,73,476,
"8112407",75,8,92,24,11,60,0,9,3,19,55,355,
"8112403",76,26,108,19,17,76,0,3,7,10,87,434,
"8112404",76,18,115,24,16,68,0,6,8,18,53,400,
"8112402",63,21,112,21,16,60,0,4,3,22,61,384,
"8109103",20,17,73,26,31,78,0,15,6,25,44,337,
"8109107",31,23,61,21,29,58,0,16,8,4,71,323,
"8109108",56,24,85,43,26,86,0,17,8,19,91,463,
"8109102",39,13,73,17,21,57,0,7,11,10,65,312,
"8109104",24,12,51,23,18,53,0,18,6,6,38,239,
"8109105",35,22,82,22,13,66,0,7,12,25,88,374,
"8109101",30,9,48,19,13,35,0,9,5,12,40,226,
"8109106",51,32,98,37,23,54,0,19,8,22,73,415,
"8100408",11,0,23,17,22,44,0,7,5,12,27,168,
"8100405",10,3,50,33,54,128,0,25,11,39,92,444,
"8100409",6,7,13,24,47,81,0,25,16,42,69,326,
"8100406",13,12,44,43,77,170,0,33,22,28,127,575,
"8100404",4,9,25,25,63,98,0,17,12,23,92,361,
"8100403",16,4,48,33,70,106,3,21,10,32,113,457,
"8100401",6,5,16,19,49,60,0,11,0,24,33,223,
"8100402",23,9,56,28,54,124,0,19,12,10,79,417,
"8109901",63,31,150,68,63,144,0,27,19,37,114,714,
"8109905",36,19,96,29,39,91,0,28,9,30,80,446,
"8109903",30,13,71,20,23,65,0,13,3,9,74,321,
"8109904",31,15,59,15,33,75,0,21,21,22,73,353,
"8109902",51,16,126,58,51,95,0,14,13,53,93,568,
"8107410",12,7,38,34,41,97,0,9,11,4,41,295,
"8107407",12,12,48,47,68,160,0,27,5,25,117,526,
"8107402",18,13,71,45,79,148,0,33,6,34,97,549,
"8107405",10,4,27,30,65,142,0,17,7,36,99,439,
"8107404",17,8,19,22,37,105,0,12,9,28,75,337,
"8107406",16,5,40,36,79,119,0,19,12,26,92,450,
"8107403",8,11,34,31,51,78,0,12,11,10,58,305,
"8107408",9,5,34,27,27,74,0,14,3,15,41,254,
"8107401",19,12,41,45,69,136,0,27,15,23,86,471,
"8107411",15,14,43,46,65,141,0,22,5,24,93,473,
"8107409",14,15,39,36,71,119,0,16,7,16,102,444,
"8107413",19,12,45,28,43,90,0,12,0,20,66,328,
"8107412",7,4,21,20,37,80,0,12,10,15,35,242,
"8105302",108,37,153,16,11,68,0,0,10,37,13,458,
"8105309",39,0,60,13,4,67,0,0,9,43,6,238,
"8105310",137,37,244,58,24,135,0,13,14,104,23,800,
"8107509",0,11,22,22,35,73,0,8,7,9,38,222,
"8107504",3,6,34,40,67,129,0,39,7,27,69,424,
"8107516",18,13,64,47,61,168,0,25,20,29,107,558,
"8107502",9,7,38,26,33,102,0,19,12,16,70,332,
"8107512",13,9,45,24,28,89,0,15,4,18,51,304,
"8107503",13,4,50,31,41,106,0,13,12,20,75,369,
"8107505",19,15,49,42,70,151,0,17,9,21,83,470,
"8107506",3,6,42,37,66,144,0,17,14,25,94,443,
"8107507",8,10,36,39,66,115,0,14,8,20,105,422,
"8107513",16,9,35,30,41,74,0,14,12,20,62,322,
"8107510",10,3,56,42,87,158,0,16,8,25,138,559,
"8107508",11,4,40,21,43,92,0,9,6,19,54,300,
"8107517",9,8,37,24,44,103,0,6,3,18,71,325,
"8100504",48,16,81,22,19,56,0,5,9,9,41,310,
"8100508",28,18,50,8,10,37,0,9,4,6,53,215,
"8100507",59,18,68,20,10,40,0,7,8,9,60,301,
"8100505",71,15,108,30,23,70,0,13,7,18,58,416,
"8100509",55,12,89,20,32,63,0,16,9,10,92,392,
"8100506",37,11,51,16,4,13,0,0,5,9,25,173,
"8100501",30,11,52,18,32,59,0,11,3,18,56,293,
"8100502",58,24,91,21,30,75,0,19,5,24,78,423,
"8100503",41,15,57,14,22,58,0,12,13,8,44,286,
"8110007",31,13,50,17,7,65,0,13,4,7,44,241,
"8110006",53,22,89,24,19,77,0,19,8,17,81,410,
"8110009",54,7,124,36,25,84,0,19,9,26,82,462,
"8110002",52,20,96,27,17,64,0,18,8,23,82,402,
"8110012",47,13,94,28,28,70,0,31,10,33,101,465,
"8110005",76,26,117,30,28,95,0,26,7,23,106,536,
"8110010",55,20,117,26,31,86,0,8,9,22,106,488,
"8110008",68,18,146,43,39,103,0,10,14,15,117,586,
"8110004",69,31,137,35,54,82,0,19,14,29,128,597,
"8110003",40,9,74,15,16,58,0,27,14,28,47,339,
"8110001",67,27,98,33,26,84,0,18,8,42,73,476,
"8110011",32,11,52,20,9,46,0,8,6,3,53,243,
"8106207",36,15,80,23,12,46,0,11,13,10,63,305,
"8106205",79,21,108,20,14,69,0,9,9,13,92,436,
"8106203",0,0,0,0,0,0,0,0,0,0,0,0,
"8106204",37,9,85,18,11,60,0,9,4,19,81,332,
"8106201",63,17,124,47,22,103,0,18,20,56,54,518,
"8106208",42,21,67,19,4,40,0,6,5,13,66,280,
"8106206",43,17,56,15,10,25,0,11,5,14,50,246,
"8106209",44,14,69,24,12,32,0,5,4,9,54,267,
"8106202",63,25,119,27,10,111,0,28,10,10,80,488,
"8105404",54,23,73,14,25,94,0,19,8,29,78,420,
"8105406",67,25,146,15,26,96,0,16,12,49,105,563,
