Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"SA1",
"8104903",0,0,0,0,0,0,0,0,0,0,
"8104901",0,0,0,0,0,0,0,0,11,11,
"8104902",0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,
"8105013",62,58,0,58,3,0,0,13,11,211,
"8105008",22,28,0,48,0,0,0,11,7,120,
"8105016",12,23,0,39,0,0,0,4,9,86,
"8105018",17,19,0,32,0,0,0,3,9,76,
"8105006",37,42,0,81,0,0,0,28,28,215,
"8105007",33,32,0,30,0,0,0,3,8,106,
"8105001",33,53,0,91,6,0,0,8,20,211,
"8105002",46,35,0,15,0,0,0,9,11,120,
"8105014",36,36,0,28,0,0,0,3,9,110,
"8105011",70,64,0,73,0,0,6,9,26,238,
"8105005",67,60,0,47,0,0,4,5,9,194,
"8105012",35,54,0,43,4,0,3,3,14,160,
"8105004",37,20,0,36,0,0,0,5,13,111,
"8105017",20,28,0,36,0,0,0,9,9,100,
"8105015",58,7,0,43,0,44,21,19,22,213,
"8105003",0,0,0,0,0,0,0,0,0,0,
"8103404",20,78,0,43,0,0,3,3,4,151,
"8103406",39,65,0,36,0,0,0,7,6,154,
"8103411",41,85,0,39,0,0,0,10,7,185,
"8103405",16,77,0,38,0,0,0,10,9,146,
"8103409",11,39,0,39,0,0,0,4,3,96,
"8103408",30,94,0,42,0,0,0,3,20,190,
"8103412",31,68,0,27,5,0,0,0,8,138,
"8103410",26,83,0,41,0,0,0,3,6,157,
"8103407",23,47,0,12,0,0,0,0,0,87,
"8103414",12,35,0,11,0,0,0,0,5,64,
"8103401",35,68,0,43,0,0,0,8,11,170,
"8103403",36,89,0,17,3,0,0,4,9,154,
"8103402",15,35,0,19,0,0,0,3,7,82,
"8103413",32,79,0,32,0,0,0,7,10,170,
"8104014",14,33,0,47,0,0,0,8,12,110,
"8100104",77,52,0,19,0,0,0,6,15,172,
"8100102",50,53,0,15,0,0,0,5,6,138,
"8100101",34,35,0,10,0,7,0,0,7,100,
"8100106",86,52,0,31,9,0,4,0,11,188,
"8100105",95,67,0,31,0,0,0,6,14,212,
"8100103",41,36,0,42,0,0,0,3,15,141,
"8107108",46,107,0,59,4,0,0,3,11,228,
"8107112",27,125,0,15,0,0,0,7,12,185,
"8107110",49,135,0,55,0,0,0,18,16,279,
"8107106",20,62,0,25,0,0,0,3,10,132,
"8107113",16,48,0,27,0,0,0,0,3,94,
"8107114",23,64,0,21,0,0,0,4,8,118,
"8107107",25,69,0,36,0,0,0,8,7,144,
"8107102",28,103,0,9,0,0,0,0,9,152,
"8107104",23,56,0,16,0,0,0,0,5,107,
"8107109",23,81,0,21,0,0,0,7,3,140,
"8107105",25,93,0,29,0,0,0,11,3,171,
"8107111",21,47,0,15,0,0,0,6,4,96,
"8112902",41,32,0,42,0,0,0,0,25,143,
"8112903",49,92,0,164,3,0,0,34,72,415,
"8112901",55,63,0,181,0,0,0,9,101,411,
"8112602",0,0,0,0,0,0,0,0,0,0,
"8100203",26,51,0,249,0,0,0,31,19,377,
"8100211",25,58,0,167,0,0,0,26,9,291,
"8100210",31,38,0,83,3,0,0,13,20,196,
"8100217",27,36,0,117,6,0,0,18,13,216,
"8100205",0,0,0,0,0,0,0,0,0,0,
"8100201",29,29,0,121,0,0,4,16,19,219,
"8100209",9,18,0,105,0,0,0,38,24,195,
"8100214",45,101,0,343,4,0,4,48,72,617,
"8100202",13,29,0,107,0,0,0,12,18,180,
"8100204",0,0,0,0,0,0,0,0,0,0,
"8100212",15,15,0,25,0,0,0,6,3,70,
"8100216",0,0,0,0,0,0,0,0,0,0,
"8100213",0,0,0,11,0,0,0,0,5,16,
"8100208",31,43,0,100,0,0,0,21,18,216,
"8100319",55,24,0,35,0,0,0,3,17,138,
"8107208",56,64,0,50,3,0,0,11,11,192,
"8107202",43,48,0,73,0,0,0,7,12,184,
"8107207",36,65,0,36,0,0,0,0,8,139,
"8107206",38,67,0,115,0,0,0,11,42,274,
"8107204",70,59,0,65,3,0,0,7,12,214,
"8107211",32,34,0,8,0,0,0,0,0,72,
"8107210",36,64,0,19,0,0,0,5,0,123,
"8107203",40,68,0,24,0,0,0,5,0,133,
"8107209",0,0,0,0,0,0,0,0,0,0,
"8107205",34,96,0,71,0,0,0,6,11,219,
"8105104",16,71,0,227,4,0,0,44,44,406,
"8105105",28,97,0,204,3,0,0,79,68,480,
"8105112",14,20,0,76,0,0,0,15,8,135,
"8105115",43,11,0,34,0,0,0,6,10,119,
"8105117",14,23,0,100,0,0,0,10,9,152,
"8105101",0,0,0,14,0,0,0,11,0,23,
"8105109",34,67,0,187,0,0,0,20,27,341,
"8105110",5,25,0,150,0,0,0,34,26,234,
"8105116",11,22,0,135,0,0,0,28,24,214,
"8105111",30,38,0,206,0,4,0,27,10,315,
"8105102",41,42,0,144,4,3,0,19,29,280,
"8105114",0,0,0,0,0,0,0,0,0,0,
"8105118",4,31,0,106,0,0,0,15,9,169,
"8100314",0,0,0,0,0,0,0,0,6,6,
"8100310",25,23,0,29,0,0,0,3,11,89,
"8100316",38,12,0,14,0,26,7,8,15,119,
"8100315",73,29,0,35,0,0,0,4,7,155,
"8100306",37,38,0,78,0,0,0,14,21,185,
"8100312",44,64,0,47,0,0,0,10,9,174,
"8100317",8,35,0,181,3,0,0,14,24,255,
"8100313",11,67,0,285,3,0,0,16,39,423,
"8100307",21,22,0,41,0,0,0,4,9,99,
"8100304",24,104,0,242,0,0,0,27,31,419,
"8100308",0,0,0,0,0,0,0,0,0,6,
"8100309",7,17,0,80,0,0,0,6,9,120,
"8100301",16,23,0,118,3,0,0,0,4,177,
"8100311",31,22,0,46,0,0,0,9,16,131,
"8100318",55,24,0,4,4,0,0,3,7,106,
"8107308",28,63,0,9,0,0,0,3,6,107,
"8107304",39,57,0,36,4,0,0,16,13,161,
"8108107",24,59,0,13,0,0,0,8,6,105,
"8107316",22,49,0,37,3,0,0,10,14,133,
"8107307",47,77,0,37,0,0,0,4,11,170,
"8107312",34,58,0,14,0,0,0,13,5,119,
"8107309",42,105,0,23,0,0,0,10,14,186,
"8107315",0,0,0,0,0,0,0,0,0,0,
"8107311",32,112,0,87,0,0,0,9,21,259,
"8107313",27,58,0,47,0,0,0,15,13,162,
